DEVICE ;FECHA ;NOMBRE DEL CLIENTE ;NOMBRE DEL PUNTO ;TIPO DE SERVICIO
005484038070;9/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q66 BARRANQUILLA SAN REMO;MTTO PREVENTIVO
005484091370;9/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q82 BUENA ESPERANZA;MTTO PREVENTIVO
005484033570;9/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q58  BARRANQUILLA LA UNION;MTTO PREVENTIVO
009150305570;9/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS PUERTA DE ORO FR;MTTO PREVENTIVO
098331983370;9/10/2025;BBI COLOMBIA SAS;9833 CC PLAZA DEL SOL L281;MTTO CORRECTIVO
000018217370;9/10/2025;D1 S.A.S;10512-TIENDA D1 PALOQUEMAO;MTTO CORRECTIVO
005528000570;9/10/2025;LA NACIONAL DE LICORES DE COLOMBIA SAS;FV SEDE AMERICAS;MTTO CORRECTIVO
000018188770;9/10/2025;D1 S.A.S;10635-TIENDA D1 BRITALIA;MTTO PREVENTIVO
009150300770;9/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS COMPOSTELA FR;MTTO PREVENTIVO
009770152770;9/10/2025;JERONIMO MARTINS COLOMBIA SAS;1527 SUBA GRANADA;MTTO PREVENTIVO
009770136770;9/10/2025;JERONIMO MARTINS COLOMBIA SAS;1367 SUBA - PORTALES DEL NORTE (URBAN);MTTO PREVENTIVO
009650004870;9/10/2025;CAJA DE COMPENSACION FAMILIAR - COMPENSAR;CENTRO MAYOR;MTTO PREVENTIVO
000300000870;9/10/2025;ALMACENES EXITO S A;6239 EDS EXITO VILLAMAYOR;MTTO PREVENTIVO
009149006270;9/10/2025;FARMATODO COLOMBIA S A;FARMATODO CENTRO MAYOR;MTTO PREVENTIVO
005611000270;9/10/2025;EL ADORNO MERCERIA SAS;EL ADORNO ALQUERIA;MTTO PREVENTIVO
005669000170;9/10/2025;LA REAL MERCERIA SAS;LA REAL ALQUERIA;MTTO PREVENTIVO
001763005171;9/10/2025;COLOMBIANA DE COMERCIO S A;FV CC EL EDEN;MTTO PREVENTIVO
009550004570;9/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR AKT BOYACA;MTTO CORRECTIVO
010097000270;9/10/2025;ESTACION DE SERVICIO MOBIL LLANTA BAJA;FV EDS MOBIL LLANTA BAJA;MTTO CORRECTIVO
009553000870;9/10/2025;COLOMBIANA DE COMERCIO S A;FV KTRONIX PLAZA AMERICAS;MTTO PREVENTIVO
000018215470;9/10/2025;D1 S.A.S;10777-TIENDA D1 CALI MARROQUÍN;MTTO CORRECTIVO
000018214170;9/10/2025;D1 S.A.S;10409-TIENDA D1 CALI AV AMERICAS;MTTO CORRECTIVO
002377346870;9/10/2025;COLSUBSIDIO;3468 CENTRO MEDICO SURA CALI;MTTO PREVENTIVO
004586001170;9/10/2025;ARCOS DORADOS COLOMBIA SAS;CNG- MAC DONALD - CAÑAS GORDAS;MTTO CORRECTIVO
009550000170;9/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR UNICO;MTTO PREVENTIVO
009550003370;9/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR BELLO;MTTO PROFUNDO
005484026570;9/10/2025;PLAN B INVESTMENTS S.A.S.;FV I15 GUARNE ESTADIO;MTTO CORRECTIVO
000018161870;9/10/2025;D1 S.A.S;10209 TIENDA D1 ALFONSO LOPEZ;MTTO CORRECTIVO
009553002770;9/10/2025;COLOMBIANA DE COMERCIO S A;FV KTRONIX LAURELES (ARKADIA);MTTO PROFUNDO
009550006670;9/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR AVENTURA;MTTO PROFUNDO
009550004370;9/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR FLORIDA;MTTO PROFUNDO
009550008070;9/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR PLAZA FABRICATO;MTTO PROFUNDO
000018226670;9/10/2025;D1 S.A.S;10540-TIENDA D1 MARINILLA 3;MTTO CORRECTIVO
000018221070;9/10/2025;D1 S.A.S;11685-TIENDA D1 MARINILLA 5;MTTO CORRECTIVO
005484091470;10/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q83 SIMON BOLIVAR;MTTO PREVENTIVO
005484036270;10/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q23 BARRANQUILLA CONCEPCION;MTTO PREVENTIVO
005484036670;10/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q10 BARRANQUILLA SAN JOSE;MTTO CORRECTIVO
009150304770;10/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS PALERMO FR;MTTO CORRECTIVO
009150317270;10/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS LA PAZ FR;MTTO CORRECTIVO
098250353170;10/10/2025;MASSER S A S;1200 SIETE DE ABRIL;MTTO CORRECTIVO
007414000170;10/10/2025;ALCATA GROUP S.A.S;ALCATA GROUP S.A.S;MTTO CORRECTIVO
005484089770;10/10/2025;PLAN B INVESTMENTS S.A.S.;SA3 ISIMO SAN PATRICIO;MTTO PREVENTIVO
009770029770;10/10/2025;JERONIMO MARTINS COLOMBIA SAS;297 CHICO NORTE TRES;MTTO PROFUNDO
005484002770;10/10/2025;PLAN B INVESTMENTS S.A.S.;FV S29 SAN CRISTOBAL SUR;MTTO PREVENTIVO
009770122470;10/10/2025;JERONIMO MARTINS COLOMBIA SAS;1224 - MARICHUELA 2;MTTO PREVENTIVO
009770121270;10/10/2025;JERONIMO MARTINS COLOMBIA SAS;1212 - LA BELLEZA;MTTO PREVENTIVO
000018024670;10/10/2025;D1 S.A.S;10503 - BOG CAPUCHINA;MTTO PREVENTIVO
000018187070;10/10/2025;D1 S.A.S;10855-D1 PRIMAVERA;MTTO PREVENTIVO
001763000270;10/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO AV 68;MTTO CORRECTIVO
009770103770;10/10/2025;JERONIMO MARTINS COLOMBIA SAS;1037 PLAZA ESPAÑA (BDC);MTTO PREVENTIVO
009770099270;10/10/2025;JERONIMO MARTINS COLOMBIA SAS;992 SAN MARTIN;MTTO PREVENTIVO
000018817570;10/10/2025;D1 S.A.S;11032 BOG LOS NARANJOS;MTTO PROFUNDO
001763043070;10/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO CALLE 170_2;MTTO PREVENTIVO
001763002470;10/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO CALLE 170;MTTO PREVENTIVO
000018161370;10/10/2025;D1 S.A.S;12249 BOG LUCERO BAJO;MTTO PREVENTIVO
000018196470;10/10/2025;D1 S.A.S;12338 ALTAMIRA;MTTO PREVENTIVO
009150337870;10/10/2025;ORGANIZACION TERPEL SA;1000  EDS GANADERO FR LIQUIDOS;MTTO PREVENTIVO
000018023570;10/10/2025;D1 S.A.S;10568 BOG EL PROGRESO;MTTO PREVENTIVO
000018176670;10/10/2025;D1 S.A.S;10385 TIENDA D1 CALI EL TREBOL;MTTO CORRECTIVO
009553002770;10/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR AKT ROOSVELT;MTTO PREVENTIVO
098103092470;10/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;AV 9 # 12 NORTE - 55;MTTO CORRECTIVO
005541000370;10/10/2025;PLANEAR INVERSIONES SAS;FV EDS TERPEL YUMBO;MTTO CORRECTIVO
009554000270;10/10/2025;COLOMBIANA DE COMERCIO S A;FV CORBETA DISTRIBUCIONES CALI;MTTO CORRECTIVO
001280003970;10/10/2025;COLVANES SAS;ACOPI YUMBO 2;MTTO CORRECTIVO
000018162870;10/10/2025;D1 S.A.S;10806 TIENDA D1 MED CASTILLA 2;MTTO PROFUNDO
PROCOIN-0283;10/10/2025;BIMBO DE COLOMBIA S.A.;BIMBO MEDELLIN COPACABANA(PROCOIN);MTTO PREVENTIVO
009891001870;10/10/2025;BIMBO DE COLOMBIA S.A.;BIMBO MEDELLIN COPACABANA(PLUS);MTTO CORRECTIVO
009890000370;10/10/2025;POLLOS EL BUCANERO S.A;AGENCIA GIRARDOTA;MTTO CORRECTIVO
009550005270;10/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR SAN DIEGO;MTTO PREVENTIVO
009550003670;10/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR AKT LA 33 # 3;MTTO PREVENTIVO
009550000670;10/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR LA 33  Nº  1;MTTO PREVENTIVO
009550000770;10/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR AKT LA 33 - 2;MTTO PREVENTIVO
098234000170;10/10/2025;ESTACION DE SERVICIO UNIVERSIDAD SAS;FV ESTACION TEXACO UNIVERSIDAD;MTTO CORRECTIVO
005484038670;14/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q51 BARRANQUILLA LA PRADERA;MTTO CORRECTIVO 
004028004270;14/10/2025;SUPERTIENDAS Y DROGUERIAS OLIMPICA;FV  STO 042 UNIVERSAL;MTTO CORRECTIVO 
004586023270;14/10/2025;ARCOS DORADOS COLOMBIA SAS;RESTAURANTE BARRANQUILLA C53;MTTO CORRECTIVO 
001076000170;14/10/2025;FONRECOOTRANSORIENTE;FONRECOOTRANSORIENTE;MTTO CORRECTIVO 
005484038970;14/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q20 BARRANQUILLA RECREO CR 43;MTTO PREVENTIVO
009150300570;14/10/2025;ORGANIZACION TERPEL SA;1000 LIQ BOSTON FR;MTTO PREVENTIVO
000018084270;14/10/2025;D1 S.A.S;11240 - KUKARAMAKARA CECO 6A09T00228;MTTO CORRECTIVO 
002377127570;14/10/2025;COLSUBSIDIO;1275 DROGUERIA LA CABRERA;MTTO PREVENTIVO
009149007670;14/10/2025;FARMATODO COLOMBIA S A;FARMATODO CALLE 93;MTTO PREVENTIVO
012333000270;14/10/2025;ADMINISTRADORA COUNTRY SA;ADMINISTRADORA COUNTRY SAS COUNTRY NUEVO CENTRO;MTTO PREVENTIVO
000018159870;14/10/2025;D1 S.A.S;11509 MOSQUERA RUBI;MTTO PROFUNDO
005484090070;14/10/2025;PLAN B INVESTMENTS S.A.S.;FV SA5 ISIMO EL TREBOL;MTTO PROFUNDO
098250325270;14/10/2025;MASSER S A S;1000  LIQ  EDS LA TORRE;MTTO PROFUNDO
009770143670;14/10/2025;JERONIMO MARTINS COLOMBIA SAS;1436 PUENTE ARANDA GALAN;MTTO PREVENTIVO
098286000171;14/10/2025;MERCADO ZAPATOCA SA;PRADERA;MTTO PREVENTIVO
001930050270;14/10/2025;CRUZ ROJA COL SECCIONAL CUND Y BOG;CENTRO DE SALVAMENTO ACUATICO;MTTO PREVENTIVO
000018157470;14/10/2025;D1 S.A.S;12529 SOACHA ESPERANZA;MTTO PREVENTIVO
000018163770;14/10/2025;D1 S.A.S;11887 TIENDA D1 SOACHA JUAN PABLO II;MTTO PREVENTIVO
009550034170;14/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR AKT - BAJAJ SOACHA;MTTO PREVENTIVO
005484008370;14/10/2025;PLAN B INVESTMENTS S.A.S.;FV CE076 SOACHA ESQUINA;MTTO PREVENTIVO
009770127170;14/10/2025;JERONIMO MARTINS COLOMBIA SAS;1271 SOACHA LAS MERCEDES;MTTO PREVENTIVO
009150318770;14/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS PONTEVEDRA FR;MTTO CORRECTIVO 
009149006370;14/10/2025;FARMATODO COLOMBIA S A;FARMATODO NAVARRA;MTTO PREVENTIVO
000018165370;14/10/2025;D1 S.A.S;10800 TIENDA D1 MOSQUERA SANTANA;MTTO PROFUNDO
009770082270;14/10/2025;JERONIMO MARTINS COLOMBIA SAS;822 MOSQUERA SANTA ANA;MTTO PROFUNDO
009553002170;14/10/2025;COLOMBIANA DE COMERCIO S A;FV KTRONIX SOACHA(ANTARES);MTTO PREVENTIVO
009770096970;14/10/2025;JERONIMO MARTINS COLOMBIA SAS;969 SOACHA TIERRA BUENA;MTTO PREVENTIVO
000018214770;14/10/2025;D1 S.A.S;10433-TIENDA D1 CALI EL CEDRO;MTTO CORRECTIVO 
009150306070;14/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS GUADUALES;MTTO CORRECTIVO 
098250340370;14/10/2025;MASSER S A S;1000 LIQ CARRERA 5;MTTO CORRECTIVO 
000018176270;14/10/2025;D1 S.A.S;11619 TIENDA D1 CALI VALLE GRANDE;MTTO CORRECTIVO 
000018166870;14/10/2025;D1 S.A.S;10450 TIENDA D1 CALI REPUBLICA DE ISRAEL;MTTO CORRECTIVO 
000018164470;14/10/2025;D1 S.A.S;10205 TIENDA D1 ROBLEDO;MTTO CORRECTIVO 
000018160870;14/10/2025;D1 S.A.S;11089 TIENDA D1 ROBLEDO LA 80;MTTO PROFUNDO
000018165570;14/10/2025;D1 S.A.S;10010 MED BELEN ALPES PLAZ;MTTO CORRECTIVO 
004608017070;14/10/2025;DISTRACOM S A;EDS PORTAL DEL NORTE;MTTO PROFUNDO
004608019870;14/10/2025;DISTRACOM S A;EDS EL TRAPICHE;MTTO CORRECTIVO 
000018159670;14/10/2025;D1 S.A.S;11608 VARIANTE CALDAS;MTTO PREVENTIVO
004608016670;14/10/2025;DISTRACOM S A;EDS EL LLANO;MTTO PREVENTIVO
004608012870;14/10/2025;DISTRACOM S A;E/S LAS VEGAS;MTTO PREVENTIVO
004608006070;14/10/2025;DISTRACOM S A;EDS LA CARBONERA;MTTO PREVENTIVO
000300010470;14/10/2025;ALMACENES EXITO S A;EDS BELLO;MTTO CORRECTIVO 
000018140270;14/10/2025;D1 S.A.S;10055 TIENDA D1 BODEGA AMAGA;MTTO CORRECTIVO 
005484039270;15/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q14 BARRANQUILLA UNIVERSAL CARRERA 2;MTTO CORRECTIVO
005484038670;15/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q51 BARRANQUILLA LA PRADERA;MTTO CORRECTIVO
009150307770;15/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS GASXI SOLEDAD FR;MTTO CORRECTIVO
009770042770;15/10/2025;JERONIMO MARTINS COLOMBIA SAS;BARRANQUILLA METROCENTRO TIA;MTTO CORRECTIVO
098103059670;15/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;BARRANQUILLA-50KFI-LA CONCEPCIÓN;MTTO CORRECTIVO
009770098870;15/10/2025;JERONIMO MARTINS COLOMBIA SAS;988 BARRANQUILLA LAS CAYENAS;MTTO CORRECTIVO
000018195770;15/10/2025;D1 S.A.S;10586-TIENDA D1 20 DE JULIO;MTTO PREVENTIVO
000018221670;15/10/2025;D1 S.A.S;11599-TIENDA D1 MANITAS;MTTO PREVENTIVO
005484089870;15/10/2025;PLAN B INVESTMENTS S.A.S.;FV SA4 ISIMO LOMAS;MTTO PREVENTIVO
009770121570;15/10/2025;JERONIMO MARTINS COLOMBIA SAS;1215 - SAN CRISTOBAL - VILLA JAVIER POLICARPA  (JMV);MTTO PREVENTIVO
009770131270;15/10/2025;JERONIMO MARTINS COLOMBIA SAS;1312 SAN CRISTOBAL SUR - SAN ISIDRO (JMV);MTTO PREVENTIVO
000018203470;15/10/2025;D1 S.A.S;11883-TIENDA D1 MINUTO;MTTO PREVENTIVO
009150318770;15/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS PONTEVEDRA FR;MTTO CORRECTIVO
009150319770;15/10/2025;ORGANIZACION TERPEL SA;1000 EDS PLANVE LIQ FR;MTTO PREVENTIVO
000018248270;15/10/2025;D1 S.A.S;12942 - MADRID SOSIEGO;MTTO PREVENTIVO
009770119970;15/10/2025;JERONIMO MARTINS COLOMBIA SAS;1199 MADRID - SARAGOZA (JMV);MTTO PREVENTIVO
009770107770;15/10/2025;JERONIMO MARTINS COLOMBIA SAS;1077 MADRID - LA VIRGEN (JMV);MTTO PREVENTIVO
000018218370;15/10/2025;D1 S.A.S;12095-TIENDA D1 PARQUE CASTILLA;MTTO PREVENTIVO
000018161270;15/10/2025;D1 S.A.S;10476 TIENDA D1 FONTIBON PLAZA;MTTO PREVENTIVO
004608016870;15/10/2025;DISTRACOM S A;EDS TERMINAL DE BOGOTA;MTTO PREVENTIVO
009891000370;15/10/2025;BIMBO DE COLOMBIA S.A.;CV BOGOTA CENTRO AGENCIA TRADICIONAL;MTTO PREVENTIVO
PROCOIN-0173;15/10/2025;BIMBO DE COLOMBIA S.A.;CV BOGOTA CENTRO AGENCIA TRADICIONAL;MTTO PREVENTIVO
009770123370;15/10/2025;JERONIMO MARTINS COLOMBIA SAS;1233 - SAN CRISTOBAL - VILLA JAVIER (JMV);MTTO PREVENTIVO
000018217170;15/10/2025;D1 S.A.S;10765-TIENDA D1 TABORA;MTTO PREVENTIVO
098208000670;15/10/2025;JIN MAO  SAS;FV JIN MAO PAÑALERA VALENTINA 4;MTTO PREVENTIVO
000018297770;15/10/2025;D1 S.A.S;12811 - MADRID CALLE 7;MTTO PREVENTIVO
009150320570;15/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS CORZO FR;MTTO PREVENTIVO
000018248470;15/10/2025;D1 S.A.S;12941 - FONTIBÓN RECODO;MTTO PREVENTIVO
001763199470;15/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO CALI NORTE;MTTO CORRECTIVO
004608013570;15/10/2025;DISTRACOM S A;135 EDS VILLA COLOMBIA;MTTO PREVENTIVO
009150350970;15/10/2025;ORGANIZACION TERPEL SA;1000 EDS VALLEMIO;MTTO CORRECTIVO
098331187970;15/10/2025;BBI COLOMBIA SAS;1879 C.C. CHIPICHAPE;MTTO CORRECTIVO
004586001170;15/10/2025;ARCOS DORADOS COLOMBIA SAS;CNG- MAC DONALD - CAÑAS GORDAS;MTTO CORRECTIVO
005603000170;15/10/2025;DISTRIBUIDORA O&V HERMANOS ASOCIADOS Y CIA S.A.S;FV EDS TEXACO SAN MARCOS;MTTO CORRECTIVO
000018214470;15/10/2025;D1 S.A.S;10423-TIENDA D1 PALM CIUD DEL CAMPO;MTTO CORRECTIVO
009150306170;15/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS PALMIRA;MTTO CORRECTIVO
004586003270;15/10/2025;ARCOS DORADOS COLOMBIA SAS;ROO - MAC DONALD - ROOSEVELT;MTTO CORRECTIVO
009550001170;15/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOMPRAR RIONEGRO(SAN NICOLAS);MTTO PROFUNDO
098331173770;15/10/2025;BBI COLOMBIA SAS;FV 1737 ARKADIA;MTTO CORRECTIVO
098103078570;15/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;50FLL LAURELES CASTELLANA;MTTO CORRECTIVO
004586002870;15/10/2025;ARCOS DORADOS COLOMBIA SAS;POB- MC DONALDS - RESTAURANTE POBLADO;MTTO CORRECTIVO
000018217270;16/10/2025;D1 S.A.S;10752-TIENDA D1 PUENTE ARANDA;MTTO PREVENTIVO
000018123770;16/10/2025;D1 S.A.S;12315 - BOG MARIA REINA;MTTO PREVENTIVO
009150309570;16/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS PALMAS;MTTO CORRECTIVO
000018001970;16/10/2025;D1 S.A.S;10584 - BOG VENECIA;MTTO PREVENTIVO
000018135270;16/10/2025;D1 S.A.S;12528 BOGOTA EL TEJAR;MTTO PROFUNDO
005484002470;16/10/2025;PLAN B INVESTMENTS S.A.S.;FV S26 OLARTE VILLA DEL RIO;MTTO PREVENTIVO
000018253070;16/10/2025;D1 S.A.S;12576 CALERA HILLS;MTTO PREVENTIVO
000018252770;16/10/2025;D1 S.A.S;10282 LA CALERA II;MTTO PREVENTIVO
000018273670;16/10/2025;D1 S.A.S;12988 CALERA PARQUE;MTTO PREVENTIVO
009150308870;16/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS LA PORTADA FR;MTTO PREVENTIVO
009770056670;16/10/2025;JERONIMO MARTINS COLOMBIA SAS;566 LA CALERA CRA 2;MTTO PREVENTIVO
000018195570;16/10/2025;D1 S.A.S;10590-TIENDA D1 CALLE 24 SUR;MTTO PROFUNDO
098250325370;16/10/2025;MASSER S A S;1000  LIQ  EDS LA BOGOTANA FR FR;MTTO CORRECTIVO
009770041570;16/10/2025;JERONIMO MARTINS COLOMBIA SAS;415 LA CALERA CENTRO;MTTO PREVENTIVO
098250340370;16/10/2025;MASSER S A S;1000 LIQ CARRERA 5;MTTO CORRECTIVO
098331189570;16/10/2025;BBI COLOMBIA SAS;1895 CC ÚNICO CALI 2;MTTO CORRECTIVO
005603000170;16/10/2025;DISTRIBUIDORA O&V HERMANOS ASOCIADOS Y CIA S.A.S;FV EDS TEXACO SAN MARCOS;MTTO CORRECTIVO
000018214770;16/10/2025;D1 S.A.S;10433-TIENDA D1 CALI EL CEDRO;MTTO CORRECTIVO
001763199470;16/10/2025;COLOMBIANA DE COMERCIO S A;FV ALKOSTO CALI NORTE;MTTO CORRECTIVO
009770094070;16/10/2025;JERONIMO MARTINS COLOMBIA SAS;940 CALDAS;MTTO CORRECTIVO
004586001170;16/10/2025;ARCOS DORADOS COLOMBIA SAS;CNG- MAC DONALD - CAÑAS GORDAS;MTTO CORRECTIVO
000018177670;16/10/2025;D1 S.A.S;10697 TIENDA D1 CALI LLERAS RESTREPO;MTTO CORRECTIVO
009770085370;16/10/2025;JERONIMO MARTINS COLOMBIA SAS;853 EL PLACER CERRITO;MTTO CORRECTIVO
005484027070;16/10/2025;PLAN B INVESTMENTS S.A.S.;FV I27 MEDELLIN BUENOS AIRES;MTTO CORRECTIVO
098331162770;16/10/2025;BBI COLOMBIA SAS;FV 1627 C.C. AVENTURA PLAZA;MTTO CORRECTIVO
004608006070;16/10/2025;DISTRACOM S A;EDS LA CARBONERA;MTTO CORRECTIVO
004608003570;16/10/2025;DISTRACOM S A;E/S CODICALDAS;MTTO CORRECTIVO
009150315070;16/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS ANCON SUR FR LIQUIDOS;MTTO CORRECTIVO
004608012570;16/10/2025;DISTRACOM S A;DISTRACOM TERMINAL CARTAGENA;MTTO PREVENTIVO
100016000170;16/10/2025;AVICOLA EL MADROÑO SA;FV TBK- AVICOLA BLOC PORT;MTTO PREVENTIVO
005484081070;16/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q73 CARTAGENA ESPAÑA;MTTO PREVENTIVO
009150307770;17/10/2025;ORGANIZACION TERPEL SA;1000 LIQ EDS GASXI SOLEDAD FR;MTTO CORRECTIVO
009770141970;17/10/2025;JERONIMO MARTINS COLOMBIA SAS;1419 BARRANQUILLA SANTA ELENA;MTTO PREVENTIVO
009770068470;17/10/2025;JERONIMO MARTINS COLOMBIA SAS;BARRANQUILLA LOTE;MTTO CORRECTIVO
001076000170;17/10/2025;FONRECOOTRANSORIENTE;FONRECOOTRANSORIENTE;MTTO CORRECTIVO
000018252870;17/10/2025;D1 S.A.S;12893 CC CENTRO CHIA;MTTO PREVENTIVO
000018253770;17/10/2025;D1 S.A.S;10662 CHIA AV CHILACO;MTTO PREVENTIVO
000018252170;17/10/2025;D1 S.A.S;10309 CHIA VARIANTE;MTTO PREVENTIVO
100458000270;17/10/2025;PRICESMART COLOMBIA SAS;XC3471 PRICESMART CHIA;MTTO PREVENTIVO
001280001270;17/10/2025;COLVANES SAS;PUNTO BODEGA PAQUETES;MTTO PREVENTIVO
001280003370;17/10/2025;COLVANES SAS;PUNTO BODEGA PAQUETES 2;MTTO PREVENTIVO
006688000170;17/10/2025;FERRETERIA ANDRES MARTINEZ SAS;FV SEDE DE VENTAS 7 DE AGOSTO;MTTO PREVENTIVO
000018196670;17/10/2025;D1 S.A.S;10511-TIENDA D1 ENGATIVA EL DORADO;MTTO PREVENTIVO
000018196970;17/10/2025;D1 S.A.S;11521 BOG ENGATIVA MUELLE;MTTO PREVENTIVO
000018135870;17/10/2025;D1 S.A.S;12677 - ENGATIVA VILLA GLADIS;MTTO PREVENTIVO
009150338670;17/10/2025;ORGANIZACION TERPEL SA;1000 EDS ENGATIVA FR;MTTO PREVENTIVO
000018192770;17/10/2025;D1 S.A.S;10306-TIENDA D1 CHIA CRA 4;MTTO PREVENTIVO
000018187370;17/10/2025;D1 S.A.S;10868-TIENDA D1 CHIA AV PRADILLA;MTTO PREVENTIVO
000018216970;17/10/2025;D1 S.A.S;10479 D1 PALERMO;MTTO PREVENTIVO
001280003370;17/10/2025;COLVANES SAS;PUNTO BODEGA PAQUETES 2;MTTO CORRECTIVO
009376000170;17/10/2025;ZULUAGA Y SOTO SAS;OFICINA PRINCIPAL;MTTO CORRECTIVO
098103075870;17/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;501N4-PARQUE DEL PERRO 34;MTTO CORRECTIVO
098250337470;17/10/2025;MASSER S A S;1000  LIQ  LA 26;MTTO CORRECTIVO
098103037870;17/10/2025;CADENA COMERCIAL OXXO COLOMBIA S A S;OXXO 50NUQ AVENIDA SEXTA;MTTO CORRECTIVO
005474000170;17/10/2025;DISTRIBUIDORA DE CARNES ET LOS MONOS SAS;FV DISTRIBUIDORA DE CARNES;MTTO CORRECTIVO
100458000770;17/10/2025;PRICESMART COLOMBIA SAS;XC3476 PRICESMART CALI MENGA;MTTO PREVENTIVO
000018215470;17/10/2025;D1 S.A.S;10777-TIENDA D1 CALI MARROQUÍN;MTTO CORRECTIVO
098331181670;17/10/2025;BBI COLOMBIA SAS;FV 1816 C.C. UNICENTRO CALI;MTTO CORRECTIVO
100458000670;17/10/2025;PRICESMART COLOMBIA SAS;XC3475 PRICESMART CALI CANAS GORDAS;MTTO PREVENTIVO
000018170070;17/10/2025;D1 S.A.S;10212 TIENDA D1 MED ARANJUEZ;MTTO PROFUNDO
000018170970;17/10/2025;D1 S.A.S;11093 TIENDA D1 SANTO TOMAS;MTTO PROFUNDO
005484029370;17/10/2025;PLAN B INVESTMENTS S.A.S.;FV I17 MEDELLIN ARANJUEZ SAN ISIDRO;MTTO CORRECTIVO
098250320670;17/10/2025;MASSER S A S;1000  LIQ  LA 45;MTTO PROFUNDO
009891004370;17/10/2025;BIMBO DE COLOMBIA S.A.;BIMBO DE COLOMBIA SA - COLORES;MTTO CORRECTIVO
005484033070;18/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q19 BARRANQUILLA EL PORVENIR CALLE 82;MTTO PREVENTIVO
005484040570;18/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q71 BARRANQUILLA LAS DELICIAS;MTTO PREVENTIVO
005484087870;18/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q77 ISIMO MANANTIALES;MTTO PREVENTIVO
005484035570;18/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q12 SOLEDAD LAS TRINITARIAS;MTTO PREVENTIVO
005484033470;18/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q67 BARRANQUILLA SAN NICOLAS CARRERA 4;MTTO PREVENTIVO
005484091570;18/10/2025;PLAN B INVESTMENTS S.A.S.;FV Q84 MURILLO LAS MORAS;MTTO CORRECTIVO
098250335870;18/10/2025;MASSER S A S;1000 EDS AEROPUERTO BARRANQUILLA;MTTO PREVENTIVO
000018171470;18/10/2025;D1 S.A.S;10797 D1 NUEVA MARSELLA;MTTO PREVENTIVO
009150318470;18/10/2025;ORGANIZACION TERPEL SA;1000  LIQ  EDS VILLA ALSACIA FR;MTTO PREVENTIVO
005484091970;18/10/2025;PLAN B INVESTMENTS S.A.S.;FV SA9 ISIMO INDEPENDENCIA;MTTO PREVENTIVO
